CustomerID,Gender,SeniorCitizen,Tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,Churn
1001,Male,0,1,29.85,29.85,Month-to-month,DSL,Electronic check,Yes
1002,Female,0,34,56.95,1889.5,One year,Fiber optic,Mailed check,No
1003,Female,0,2,53.85,108.7,Month-to-month,DSL,Electronic check,Yes
1004,Male,1,45,70.7,3190.5,Two year,Fiber optic,Bank transfer,No
1005,Male,0,12,99.65,1194.0,Month-to-month,Fiber optic,Electronic check,Yes
1006,Female,0,60,89.1,5346.0,Two year,DSL,Credit card,No
1007,Male,1,5,45.2,226.0,Month-to-month,No,Electronic check,Yes
1008,Female,0,24,65.3,1567.2,One year,Fiber optic,Bank transfer,No
1009,Male,0,72,105.5,7596.0,Two year,Fiber optic,Credit card,No
1010,Female,0,8,44.4,355.2,Month-to-month,DSL,Mailed check,Yes
1011,Male,1,3,95.75,287.25,Month-to-month,Fiber optic,Electronic check,Yes
1012,Female,0,36,72.15,2597.4,One year,DSL,Bank transfer,No
1013,Male,0,18,58.9,1060.2,One year,No,Credit card,No
1014,Female,1,7,88.6,620.2,Month-to-month,Fiber optic,Electronic check,Yes
1015,Male,0,50,79.25,3962.5,Two year,DSL,Credit card,No
